WordID,TestID,TestName,Word,LanguageCode,WordPhonetic,Description,Image
1,0,demo,home,en,həʊm,"the places where one lives permanently, especially as a member of a family or household.",https://cdn3d.iconscout.com/3d/premium/thumb/house-6338349-5220257.png
2,0,demo,insert,en,ˈɪnsət,"place, fit, or thrust (something) into another thing, especially with care.",https://static.thenounproject.com/png/2836321-200.png
3,0,demo,draw,en,drɔː,"produce (a picture or diagram) by making lines and marks, especially with a pen or pencil, on paper.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Inkscape_icons_free-hand-draw.svg/1024px-Inkscape_icons_free-hand-draw.svg.png
4,1,1.1Mestari,kirjan,fi,,book,
5,1,1.1Mestari,opiskelija,fi,,student,
6,1,1.1Mestari,kurssilla,fi,,course,
7,1,1.1Mestari,yliopisto,fi,,university,
8,1,1.1Mestari,tyoskennella,fi,työskennellä,to work,
9,1,1.1Mestari,toissa,fi,töissä,work at,
10,1,1.1Mestari,kauppa,fi,,the store,
11,1,1.1Mestari,kaupassa,fi,,in the store,
12,1,1.1Mestari,naapuri,fi,,neighbor,
13,1,1.1Mestari,naimisissa,fi,,in married (adj),
14,1,1.1Mestari,vuosi,fi,,a year,
15,1,1.1Mestari,vuotta,fi,,years (plural),
16,1,1.1Mestari,kuljettaja,fi,,a driver,
17,1,1.1Mestari,bussikuski,fi,,a bus driver,
18,1,1.1Mestari,yritys,fi,,a company,
19,1,1.1Mestari,yrityksessa,fi,yrityksessä,in the company,
20,1,1.1Mestari,koulu,fi,,a School,
21,1,1.1Mestari,koulussa,fi,,at school,
22,1,1.1Mestari,pankki,fi,,a bank,
23,1,1.1Mestari,pankissa,fi,,at a bank,
24,1,1.1Mestari,paivakoti,fi,päiväkoti,a kindergarten,
25,1,1.1Mestari,paivakodissa,fi,päiväkodissa,in kindergarten,
26,1,1.1Mestari,aantaminen,fi,ääntäminen,pronunciation,
27,1,1.1Mestari,vokaali,fi,,a vowel,
28,1,1.1Mestari,lyhyt,fi,,short (adj),
29,1,1.1Mestari,pitka,fi,pitkä,long,
30,1,1.1Mestari,tutustuminen,fi,,get to know each other,
31,1,1.1Mestari,tervehdykset,fi,,greetings,
32,1,1.1Mestari,viikonpaivat,fi,viikonpäivät,days of the week,
33,1,1.1Mestari,aakkoset,fi,,alphabet,
34,2,1.2Mestari,numerot,fi,,numbers,
35,2,1.2Mestari,feathers,fi,,This eaggle's ... help it to fly.,
36,2,1.2Mestari,rotation,fi,,the spinning of an object,
37,2,1.2Mestari,history,fi,,Study it to learn what happened long ago.,
38,2,1.2Mestari,internet,fi,,Sarah reads good news on the ...,
39,2,1.2Mestari,slither,fi,,the snake ... across the ground.,
40,2,1.2Mestari,location,fi,,our tent is in a good ... by the lake.,
41,2,1.2Mestari,machine,fi,,this ... washes dishes.,
42,2,1.2Mestari,message,fi,,Jane got a text ...,
43,2,1.2Mestari,shadow,fi,,a dark shape that is made when light is blocked,
44,2,1.2Mestari,glossary,fi,,"an alphabetical list of terms or words found in or relating to a specific subject, text, or dialect",
